,Day,Plate,Well,Culture,Media,Growth Rate,Time to Max Growth,Saturation OD,Rsq
132,1,Plate 2,D1,238,TSB,0.6244812,3.666666667,0.975854883,0.99987317
133,1,Plate 2,D2,239,TSB,0.77528484,2.833333333,1.023852332,0.99982571
134,1,Plate 2,D3,240,TSB,0.774995473,3.666666667,1.057855195,0.999625871
135,1,Plate 2,D4,241,TSB,0.729518318,4.833333333,1.025702368,0.999763717
136,1,Plate 2,D5,242,TSB,0.740885376,3.333333333,1.037709785,0.999578124
137,1,Plate 2,D6,243,TSB,0.823379836,4.166666667,1.045712823,0.998607968
138,1,Plate 2,D7,244,TSB,0.830988969,4.333333333,1.077855231,0.999684565
139,1,Plate 2,D8,248,TSB,0.669496187,4.833333333,1.061569564,0.999750638
140,1,Plate 2,D9,249,TSB,0.771503909,4.333333333,0.889569042,0.999158838
141,1,Plate 2,D10,250,TSB,0.609094895,4.5,1.02627283,0.999710075
142,1,Plate 2,D11,251,TSB,0.701178562,4.833333333,0.728977679,0.999408525
143,1,Plate 2,D12,252,TSB,0.740616362,4.666666667,0.964708994,0.999651421
144,1,Plate 2,E1,253,TSB,0.619936724,3.166666667,1.068262892,0.999357642
145,1,Plate 2,E2,257,TSB,0.807260348,2.833333333,1.026998748,0.998575055
146,1,Plate 2,E3,260,TSB,0.578318018,5.833333333,1.025709727,0.997213192
147,1,Plate 2,E4,261,TSB,0.768848906,3.833333333,0.902137562,0.999747682
148,1,Plate 2,E5,262,TSB,0.646722375,5.666666667,1.170852088,0.999000016
149,1,Plate 2,E6,263,TSB,0.709050524,2.166666667,0.99385665,0.998286915
150,1,Plate 2,E7,264,TSB,0.609828387,2.5,1.364428482,0.998459347
151,1,Plate 2,E8,273,TSB,0.69921198,4.333333333,0.972994566,0.999186063
152,1,Plate 2,E9,282,TSB,0.678955478,4.333333333,1.086995268,0.998990394
153,1,Plate 2,E10,283,TSB,0.70709366,4.333333333,1.07713975,0.99947498
154,1,Plate 2,E11,284,TSB,0.696229195,3,1.083712742,0.999428501
155,1,Plate 2,E12,285,TSB,0.915897765,3.833333333,1.11456696,0.99974761
156,1,Plate 2,F1,287,TSB,0.832247414,3.5,1.336567274,0.998834151
157,1,Plate 2,F2,288,TSB,0.733613063,3.5,1.037706058,0.999224614
158,1,Plate 2,F3,289,TSB,0.863894524,3,1.046426815,0.999200129
159,1,Plate 2,F4,290,TSB,0.78322385,3.333333333,1.434714215,0.999665512
160,1,Plate 2,F5,291,TSB,0.777087527,4,1.017142235,0.998965293
161,1,Plate 2,F6,292,TSB,0.777558677,4.166666667,1.05428345,0.998747265
162,1,Plate 2,F7,300,TSB,0.662404548,3,1.082283376,0.998187832
163,1,Plate 2,F8,301,TSB,0.742711244,4.166666667,0.976141915,0.999280467
164,1,Plate 2,F9,302,TSB,0.779248576,4.333333333,0.958142793,0.999499662
165,1,Plate 2,F10,303,TSB,0.80805077,4.333333333,1.056417101,0.998812221
166,1,Plate 2,F11,307,TSB,0.755800208,5,0.887570647,0.998972551
167,1,Plate 2,F12,0,TSB,0,18.01666667,0.024710108,0
168,1,Plate 2,G1,310,TSB,0.669307804,4.666666667,1.007569179,0.998438245
169,1,Plate 2,G2,311,TSB,0.638937771,5.666666667,1.294950205,0.998617733
170,1,Plate 2,G3,312,TSB,0.876418558,3,1.074142667,0.997669142
171,1,Plate 2,G4,313,TSB,0.745015584,3.833333333,0.776914775,0.9994774
172,1,Plate 2,G5,314,TSB,0.687422622,4.5,1.009569186,0.997867919
173,1,Plate 2,G6,229,TSB,0.734633933,5,0.923140316,0.999229535
174,1,Plate 2,G7,233,TSB,0.701943848,5.166666667,1.10056911,0.998301767
175,1,Plate 2,G8,257,TSB,0.739432288,4.166666667,1.050142119,0.999861508
176,1,Plate 2,G9,284,TSB,0.718600668,3.333333333,1.081569333,0.999248343
177,1,Plate 2,G10,341,TSB,0.810304241,3.666666667,1.30399682,0.999720602
178,1,Plate 2,G11,901,TSB,0.889059634,3.666666667,1.003989465,0.998994164
179,1,Plate 2,G12,902,TSB,0.810316663,3.5,1.020283234,0.999498354
180,1,Plate 2,H1,317,TSB,0.72284001,3,1.38984867,0.998892472
181,1,Plate 2,H2,318,TSB,0.736861529,3.666666667,1.020141255,0.999935791
182,1,Plate 2,H3,320,TSB,0.617163824,3,1.03257048,0.999757942
183,1,Plate 2,H4,321,TSB,0.652952796,3,0.822549538,0.998614236
184,1,Plate 2,H5,324,TSB,0.648509923,5,1.021853868,0.998988611
185,1,Plate 2,H6,325,TSB,0.850429389,4.333333333,1.042569117,0.999055096
186,1,Plate 2,H7,326,TSB,0.649414765,5,1.010711498,0.999481434
187,1,Plate 2,H8,327,TSB,0.900785057,3.666666667,0.82514261,0.99968082
188,1,Plate 2,H9,330,TSB,0.919905789,4.333333333,1.319570794,0.998746994
189,1,Plate 2,H10,331,TSB,0.84327194,3.833333333,1.376554212,0.999847212
190,1,Plate 2,H11,340,TSB,0.725335709,4.833333333,1.270142696,0.99938999
191,1,Plate 2,H12,341,TSB,0.868393068,3.666666667,1.077712334,0.999963752
192,1,Plate 3,A1,117,TSB,0.638257318,3,0.982278923,0.999364726
193,1,Plate 3,A2,904,TSB,0.519762864,5.333333333,0.888541351,0.999910841
194,1,Plate 3,A3,142,TSB,0.928049214,3.5,1.024995958,0.999036441
195,1,Plate 3,A4,159,TSB,1.234104842,3.166666667,0.937140965,0.993984878
196,1,Plate 3,A5,905,TSB,0.300998075,6.666666667,0.472144576,0.992207111
197,1,Plate 3,A6,234,TSB,1.044658627,4,1.39499959,0.996116071
198,1,Plate 3,A7,245,TSB,0.710879495,2.666666667,0.987284743,0.999212306
199,1,Plate 3,A8,254,TSB,0.992254129,2.833333333,0.986854042,0.997555648
200,1,Plate 3,A9,907,TSB,0,18.01666667,0.027561946,0
201,1,Plate 3,A10,255,TSB,0.668750115,3.5,0.970127746,0.997768968
202,1,Plate 3,A11,256,TSB,0.813788831,2.666666667,0.965571154,0.999586015
203,1,Plate 3,A12,908,TSB,0,18.01666667,0.018853811,0
204,1,Plate 3,B1,258,TSB,1.283086909,3.333333333,1.024283801,0.993943346
205,1,Plate 3,B2,229,TSB,1.055480129,5,0.884126619,0.997251215
206,1,Plate 3,B3,912,TSB,0.844215719,1.666666667,1.144548718,0.99937443
207,1,Plate 3,B4,233,TSB,1.210705334,4,1.077278452,0.997407406
208,1,Plate 3,B5,913,TSB,0.935292502,1.833333333,1.069564747,0.99771164
209,1,Plate 3,B6,259,TSB,0.533273257,3.5,0.894273309,0.999948317
210,1,Plate 3,B7,265,TSB,1.442740709,3.166666667,1.468632862,0.992850654
211,1,Plate 3,B8,266,TSB,1.338967899,3,1.039261205,0.994194756
212,1,Plate 3,B9,267,TSB,0.559357254,9.5,0.60833555,0.999523028
213,1,Plate 3,B10,269,TSB,0.688813094,5.333333333,1.037134409,0.999392213
214,1,Plate 3,B11,914,TSB,1.082395615,1.833333333,1.09056045,0.99650156
215,1,Plate 3,B12,270,TSB,0.789720311,3.666666667,1.272129877,0.999369332
216,1,Plate 3,C1,271,TSB,0.738854103,4.166666667,1.308071178,0.999779667
217,1,Plate 3,C2,915,TSB,1.016311129,2,1.090709476,0.997602057
218,1,Plate 3,C3,272,TSB,0.903793143,3.333333333,1.077567866,0.996096304
219,1,Plate 3,C4,916,TSB,0.905425396,1.833333333,0.994707717,0.999053726
220,1,Plate 3,C5,274,TSB,1.211195869,3,1.034854736,0.992205048
221,1,Plate 3,C6,277,TSB,1.197076459,3,1.027568388,0.993346187
222,1,Plate 3,C7,278,TSB,0.742747937,2.666666667,0.979619238,0.998829599
223,1,Plate 3,C8,257,TSB,1.048387094,3.333333333,1.001999715,0.997874719
224,1,Plate 3,C9,279,TSB,0.520999484,4,1.029999445,0.999865985
225,1,Plate 3,C10,917,TSB,0.496223479,6.166666667,0.980264475,0.995883763
226,1,Plate 3,C11,923,TSB,0.565219115,2.833333333,0.981425538,0.996218919
227,1,Plate 3,C12,280,TSB,1.182914924,3.166666667,1.431972842,0.994533134
228,1,Plate 3,D1,286,TSB,0.674270921,3.5,1.416566404,0.999618843
229,1,Plate 3,D2,924,TSB,0.161938764,8.5,1.098134996,0.990669588
230,1,Plate 3,D3,925,TSB,0.782720477,3.166666667,1.116710483,0.998588439
231,1,Plate 3,D4,928,TSB,1.09533112,3,1.252630007,0.999211764
232,1,Plate 3,D5,293,TSB,1.399349775,2.666666667,0.981680359,0.991353635
233,1,Plate 3,D6,929,TSB,0.803339148,2.333333333,1.132767582,0.998544107
234,1,Plate 3,D7,294,TSB,0.84226334,2.833333333,1.012854967,0.996650098
235,1,Plate 3,D8,295,TSB,1.310163368,2.833333333,0.930142484,0.99207197
236,1,Plate 3,D9,296,TSB,0.507461204,3.5,0.935854788,0.999448668
237,1,Plate 3,D10,930,TSB,1.194403384,2.666666667,1.363646111,0.998494926
238,1,Plate 3,D11,297,TSB,0.725546584,3.833333333,1.075695583,0.998521684
239,1,Plate 3,D12,931,TSB,0.858275243,1.5,1.112114863,0.995772772
240,1,Plate 3,E1,284,TSB,1.022196565,2.833333333,1.289258606,0.996458685
